Unnamed: 0,城市,职位名称,公司名称,公司规模,公司类型,薪资,学历要求,技能要求,工作经验要求,评分
16,上海-长宁,数据分析师,春秋航空,1000-9999人,上市公司,1.5万-2万,本科,行业分析 商业分析 ,3-5年,7.55
17,上海-闵行,数据分析师,华硕电脑（上海）有限公司,1000-9999人,外商独资,6千-1万,本科,销售数据分析 ,不限,6.9
18,上海-浦东,数据建模分析师,上海数治数据科技有限公司,20-99人,民营,1.2万-1.6万,硕士,数据建模 数据分析 机器学习 文本挖掘 R语言 Python ,不限,5.8
19,上海,数据分析师,上海东证期货有限公司,500-999人,国企,1万-2万,硕士,Python ,不限,6.6
20,上海-杨浦,数据分析工程师,四川清音网络科技有限公司,500-999人,民营,1.2万-1.4万,本科,Python ,1年以下,6.5
21,上海-徐汇,数据分析师,科华生物,1000-9999人,上市公司,8千-1.5万,本科,运营数据分析 销售数据分析 ,3-5年,7.6
22,上海-徐汇,数据分析师,北京惠安中盈科技有限公司,20-99人,民营,2.2万-3.5万,本科,商业数据分析 运营数据分析 ,5-10年,6.95
23,上海-杨浦,PowerBI数据分析师,电声股份,1000-9999人,合资,1.2万-1.3万,大专,POWERBI数据分析 ,1-3年,7.0
24,上海-浦东,数据分析师-金融方向,智联猎头,1000-9999人,上市公司,1.5万-2.5万,本科,Python Shell ,5-10年,7.95
25,上海-长宁,数据分析师,拼多多,1000-9999人,民营,3万-6万,本科,Python ,不限,7.15
26,上海-徐汇,上市公司招数据分析师,上海链家地产,10000人以上,民营,8千-1.5万,本科,销售方向 运营方向 物流方向 客服方向 店长方向 营销方向 市场方向 法务方向 ,不限,6.75
27,上海,商业数据分析师,信也科技中国,1000-9999人,民营,2.2万-2.8万,本科,SQL Tableau 效度分析 Excel Power-BI ,3-5年,7.45
28,上海-浦东,数据运营/数据分析师,上海雷神咨询有限公司,100-299人,外商独资,8千-1.1万,大专,社群运营 ,1-3年,6.6
29,上海,初级数据分析师,特朗思大宇宙,1000-9999人,外商独资,8千-1万,本科,Python SQL SPSS SAS Power BI Tableau 商业数据分析 运营数据分析 ,1-3年,7.3
31,上海-浦东,数据分析师,云竞(上海)电子科技有限公司,500-999人,民营,1.3万-2.5万,本科,SQL 商业数据分析 运营数据分析 销售数据分析 ,3-5年,6.9
32,上海-黄浦,数据分析师,深圳市申河信息科技有限公司,20-99人,民营,8千-1.4万,本科,Python 机器学习 销售数据分析 运营数据分析 商业数据分析 ,1-3年,6.1
33,上海,数据分析师,上海挖豆信息科技有限公司,20人以下,无,1万-2万,学历不限,Python SQL ,不限,4.85
35,上海,数据分析师,拼多多,1000-9999人,民营,3万-6万,本科,Java SQL ,不限,7.15
36,上海-浦东,风控数据分析师,康嘉信息,20-99人,民营,2万-3万,本科,金融数据分析 风控数据分析 ,3-5年,6.55
37,上海-浦东,数据分析师,中联惠捷信息技术有限公司,500-999人,民营,8千-1.6万,本科,数据分析 机器学习 决策树 SQL SAS Python ,1-3年,6.7
38,上海-徐汇,数据分析师-上海,零氪信息技术(北京)有限公司,1000-9999人,民营,1万-2万,硕士,行业研究 市场研究 定量研究 定性研究 咨询顾问 ,不限,6.7
39,上海-杨浦,数据分析工程师-项目管理方向,四川清音网络科技有限公司,500-999人,民营,1.5万-1.7万,本科,运营数据分析 ,1-3年,6.65
40,上海-宝山,数据分析工程师,上海孟伯智能物联网科技有限公司,100-299人,民营,1.2万-2万,本科,Python SQL ,3-5年,6.6
41,上海-普陀,数据分析工程师,亚信科技,10000人以上,民营,9千-1.2万,本科,运营数据分析 ,1-3年,7.15
42,上海-杨浦,数据分析工程师,四川清音网络科技有限公司,500-999人,民营,1.2万-1.4万,本科,Python ,1-3年,6.7
43,上海-杨浦,数据分析工程师,四川兰博利科技有限公司,100-299人,民营,1.2万-1.4万,本科,Python ,1-3年,6.4
44,上海-闵行,高级数据分析师,乖宝宠物食品集团股份有限公司,1000-9999人,股份制企业,1.5万-2.5万,本科,行业分析 运营数据分析 人群分析 ,3-5年,7.25
45,上海-浦东,数据分析师,上海陆杰电子科技有限公司,100-299人,民营,1万-1.5万,本科,数据分析 ,3-5年,6.6
46,上海-闵行,数据分析师,圣都家居装饰有限公司,10000人以上,上市公司,1.5万-2万,本科,Python 运营数据分析 销售数据分析 ,3-5年,7.7
47,上海-黄浦,金融数据分析师,中诚信国际信用评级有限责任公司,500-999人,合资,5千-7千,本科,金融数据分析 ,无经验,6.2
48,上海-浦东,数据分析师,中移(上海)信息通信科技有限公司,1000-9999人,国企,面议,本科,数据分析 ,5-10年,7.8
49,上海-浦东,数据策略分析师,苏州美纳仕网络科技有限公司,20人以下,民营,2万-2.5万,本科,Python SQL SAS 风控数据分析 制定优化风险控制策略 ,3-5年,6.4
50,上海-青浦,IT服务数据分析师,德科信息有限公司,1000-9999人,民营,1.1万-1.5万,本科,SQL 游戏数据分析 财务数据分析 ,1-3年,7.0
51,上海,数据分析师,立信会计师事务所（特殊普通合伙）,1000-9999人,民营,9千-1.2万,本科,SQL Server Oracle SQL ,1-3年,7.0
52,上海-黄浦,数据分析师,深圳市申河信息科技有限公司,20-99人,民营,8千-1.4万,本科,Python 机器学习 销售数据分析 运营数据分析 商业数据分析 ,1-3年,6.1
53,上海-杨浦,人力数据分析师,上海我爱我家,10000人以上,上市公司,1万-1.3万,本科,招聘管理系统 数据分析系统 时间管理系统 规划决策系统 自动管理系统 ,不限,7.15
54,上海-静安,数据分析师,上海虹迪物流科技有限公司,500-999人,民营,1.2万-1.5万,本科,Python 商业数据分析 运营数据分析 ,不限,6.3
55,上海-宝山,数据分析师,上海二十冶建设有限公司,1000-9999人,国企,1.2万-1.5万,本科,Python SQL Shell Power BI Oracle Hyperion 决策树 商业数据分析 舆情分析 ,1-3年,7.2
56,上海-长宁,商业数据分析师,欣和企业,1000-9999人,外商独资,9千-1.3万,本科,SQL ,3-5年,7.5
57,上海-徐汇,时空大数据挖掘分析师,上海城市地理信息系统发展有限公司,100-299人,国企,2万-2.5万,本科,机器学习 时间序列模型 深度学习 分类算法 ,3-5年,7.05
58,上海-浦东,数据分析师,上海翕振信息技术有限公司,300-499人,股份制企业,1.4万-1.9万,本科,MATLAB ,3-5年,6.85
59,上海,环保工程师,上海诺本环保科技有限公司,20人以下,民营,8千-1.5万,本科,大气污染 污染分析 气象 环境科学 环保技术支持 环境监测 环境工程 大气科学 ,不限,5.55
60,上海-徐汇,营销AI数据分析师,上海宏原信息科技有限公司,20-99人,民营,1万-1.8万,本科,Python SQL ,3-5年,6.3
61,上海-长宁,数据分析师,携程计算机技术(上海)有限公司,10000人以上,上市公司,1.2万-1.5万,本科,运营数据分析 ,1-3年,7.55
62,上海-杨浦,商业数据分析师,上海我爱我家,10000人以上,上市公司,1.5万-2万,本科,SQL Python Java Shell R语言 ,3-5年,7.7
63,上海-杨浦,数据分析师,上海睿沃信息科技有限公司,20-99人,民营,1.5万-2万,本科,Cognos Tableau RDBMS SQL SNOWFLAKE Python SCRUM Azure Spark ,5-10年,6.65
64,上海,商业数据分析师,上海宏原信息科技有限公司,20-99人,民营,1万-1.5万,本科,洞察研究 报告撰写 数据分析 商业 ,1-3年,6.1
65,上海-浦东,数据分析师,宜通华瑞,1000-9999人,民营,2万-2.7万,本科,Python R语言 SQL ,3-5年,7.45
66,上海-浦东,数据分析师,上海晨钦信息科技服务有限公司,1000-9999人,上市公司,2.1万-2.2万,本科,Python SQL excel ,3-5年,7.85
67,上海-浦东,商业数据分析师主管,智联猎头,1000-9999人,上市公司,1.2万-2万,大专,数据分析 商业数据分析 商业分析 ,1-3年,7.3
68,上海-黄浦,财务数据分析师,上海道格医疗美容诊所有限公司,100-299人,医院,1.2万-1.8万,本科,销售数据分析 运营数据分析 商业数据分析 财务数据分析 ,3-5年,6.6
69,上海-黄浦,数据分析师,51Testing,100-299人,民营,8千-1.5万,大专,数据分析 商业数据分析 运营数据分析 市场数据分析 财务数据分析 金融数据分析 ,不限,5.9
70,上海-杨浦,数据分析师,杭州拓端数据科技有限公司,20人以下,民营,150-200/天,学历不限,数据分析 MATLAB R语言 SQL Python 商业数据分析 市场数据分析 金融数据分析 ,无经验,5.25
71,上海-浦东,数据分析师,上海盛付通电子支付服务有限公司,300-499人,民营,2.5万-3.5万,本科,Hadoop 数据架构 ,5-10年,7.4
72,上海-普陀,职业教育数据分析师,江苏中教科信息技术有限公司,100-299人,民营,5千-1万,大专,产业发展数据分析 职业教育数据分析 产教融合 职业教育 ,不限,5.9
73,上海-杨浦,数据分析师（电商/零售）,上海睿沃信息科技有限公司,20-99人,民营,1.5万-2.5万,本科,商业数据分析 ,5-10年,6.65
74,上海-黄浦,数据分析师,51Testing,100-299人,民营,8千-1.2万,大专,Python 数据挖掘 数据清洗 数据采集 反爬虫 分布式爬虫 爬虫开发 ,不限,5.9
75,上海-长宁,数据分析师,拼多多,1000-9999人,民营,2.5万-4.5万,本科,数据分析 数据挖掘 Hadoop Spark Python Shell 商业数据分析 游戏数据分析 ,1-3年,7.25
76,上海-杨浦,数据分析师,上海睿沃信息科技有限公司,20-99人,民营,1.5万-2.5万,本科,Tableau Cognos SQL ,5-10年,6.65
77,上海-静安,数据分析师,上海链家地产,10000人以上,民营,8千-1.6万,本科,装修/搬迁经验 互联网企业经验 熟悉物业管理 固定资产管理经验 办公用品采购经验 集团公司经验 ,不限,6.75
78,上海,数据分析师,拼多多,1000-9999人,民营,4万-7万,硕士,SQL Python 机器学习 多元统计分析 因子分析 商业数据分析 运营数据分析 ,1-3年,7.55
79,上海-黄浦,数据分析工程师,广州市森大贸易有限公司,1000-9999人,民营,2.5万-3万,本科,Tableau Power BI 商业数据分析 销售数据分析 运营数据分析 ,5-10年,7.85
80,上海-杨浦,电商数据分析师,上海挖豆信息科技有限公司,20人以下,无,2万-4万,本科,商业数据分析 电商数据 ,3-5年,5.8
81,上海,数据分析师,拼多多,1000-9999人,民营,3万-6万,本科,商业数据分析 电商数据分析 游戏数据分析 Hive ,不限,7.15
82,上海-闵行,数据分析师,上海链家地产,10000人以上,民营,6千-1.2万,本科,营销方向 市场方向 销售方向 运营方向 店长方向 管培生 储备干部 ,不限,6.75
83,上海-静安,powerBI数据分析工程师,敏捷艾科,20-99人,民营,1.2万-1.6万,本科,Power BI ,1-3年,6.1
84,上海-浦东,数据分析和算法工程师主管,有数云集生物科技(上海)有限公司,20人以下,民营,1.5万-2.5万,本科,Python R语言 深度学习 算法开发 算法设计 ,5-10年,6.5
85,上海-闵行,数据分析师,上海卓盟信息科技有限公司,20-99人,民营,1.5万-2.5万,本科,Python ,1-3年,6.05
86,上海-静安,power bi数据分析师,德昂信息技术(北京)有限公司,20-99人,民营,1.8万-2万,本科,Power BI QLIKSENSE ,3-5年,6.25
87,上海-宝山,数据分析师,上海链家地产,10000人以上,民营,9千-1.6万,本科,线上渠道 置业顾问 电话销售 房屋租赁 二手房销售 房产中介 新房销售 别墅销售 ,不限,6.75
89,上海-静安,大气污染防治分析工程师（数据分析）,无锡中科光电技术有限公司,1000-9999人,上市公司,6千-1万,硕士,环境工程 环境科学 大气污染控制 空气质量咨询 ,不限,7.1
90,上海-宝山,数据分析算法工程师,上海宝掣科技有限公司,20-99人,民营,1.5万-3万,本科,Python 机器学习 深度学习 神经网络 分类算法 ,3-5年,6.25
91,上海-闵行,数据分析师,上海链家地产,10000人以上,民营,8千-1.6万,本科,房地产 互联网+ 门店销售 大客户代表 营销方向 运营方向 ,不限,6.75
92,上海-浦东,数据分析师,外企德科人力资源服务安徽有限公司,100-299人,国企,1.2万-1.6万,本科,Python SQL Java 运营数据分析 深度学习 机器学习 关联分析 方差分析 决策树 ,不限,6.2
93,上海-静安,数据分析师（外包）,外企德科,1000-9999人,合资,1.4万-1.6万,本科,Power BI excel 数据分析 数据清洗 DASHBOARD 供应链方向数据分析 英语可作工作语言 ,1-3年,7.1
94,上海-浦东,数据分析师（金融科技产品）,万宝盛华企业管理咨询(上海)有限公司北京分公司,1000-9999人,外商独资,2万-3.5万,硕士,Python R语言 机器学习 回归算法 金融数据分析 风控数据分析 信贷 金融数科 风控 ,不限,7.15
95,上海-静安,数据分析师-230277,上海中智人才顾问咨询有限公司,20-99人,国企,1万-2万,大专,数据分析 ,3-5年,6.4
96,上海-杨浦,汽车自动驾驶数据分析工程师,苏州金色未来信息咨询股份有限公司,100-299人,上市公司,1.6万-1.9万,本科,Python SQL Shell 运营数据分析 行业分析 风控数据分析 汽车行业 商业数据分析 ,1-3年,6.75
97,上海-浦东,大数据/数据分析工程师,外企德科,1000-9999人,合资,1.4万-2.8万,本科,数据挖掘 ETL开发 数据建模 Python Hadoop MySQL Oracle ,不限,6.7
98,上海-闵行,ML运营-数据分析师,深圳南区人瑞人力资源服务有限公司,10000人以上,上市公司,1.2万-1.8万,本科,Python SQL R语言 游戏数据分析 ,1-3年,7.55
99,上海-静安,数据分析师,北京仕邦达人力资源服务有限公司上海分公司,100-299人,合资,2.5万-3万,本科,Python ,5-10年,7.35
100,上海-杨浦,数据分析工程师,苏州金色未来信息咨询股份有限公司,100-299人,上市公司,1.3万-1.4万,本科,Python SQL MATLAB 智能驾驶 数据分析 ,1-3年,6.8
101,上海-黄浦,数据分析师,上海迪孚人力资源服务有限公司,100-299人,民营,1.8万-2万,本科,SQL R语言 Python 方差分析 多元统计分析 商业数据分析 ,3-5年,6.55
102,上海-浦东,数据分析师(物流),上海东浩人力资源有限公司,100-299人,国企,1万-1.5万,本科,数据分析 Power BI BI ,1-3年,6.6
103,上海-杨浦,汽车自动驾驶数据分析工程师,苏州金色未来信息咨询股份有限公司,100-299人,上市公司,1.6万-1.9万,本科,Python SQL Shell 运营数据分析 行业分析 风控数据分析 汽车行业 商业数据分析 ,1-3年,6.75
104,上海-浦东,数据分析工程师-外包岗,万宝盛华企业管理咨询(上海)有限公司北京分公司,1000-9999人,外商独资,2万-3万,本科,Python SQL Tableau ,3-5年,7.75
105,上海-黄浦,数据分析师,天津佩能能源科技发展有限公司,20-99人,民营,1.4万-1.8万,本科,财务数据分析 商业数据分析 OLK SAP ,3-5年,6.3
106,上海-杨浦,自动驾驶数据分析工程师,苏州金色未来信息咨询股份有限公司,100-299人,上市公司,1.5万-1.8万,本科,Python C++ 数据分析分类 ,1-3年,6.75
107,上海-浦东,产品数据分析师,首聘(北京)科技有限公司,1000-9999人,民营,1万-1.2万,大专,平台产品 产品设计 产品运营 TO B TO C ,3-5年,7.1
108,上海-徐汇,数据分析助理,安徽泰沃兆斯信息科技有限公司,100-299人,股份制企业,1万-2万,本科,没有PUA，下班就走 ,不限,6.1
109,上海-杨浦,汽车自动驾驶数据分析工程师,苏州金色未来信息咨询股份有限公司,100-299人,上市公司,1.6万-1.9万,本科,Python SQL Shell 运营数据分析 行业分析 风控数据分析 汽车行业 商业数据分析 ,1-3年,6.75
110,上海-奉贤,数据分析助理,上海峪诚东信息科技有限公司,300-499人,民营,1.2万-1.5万,本科,行业分析 运营数据分析 商业数据分析 销售数据分析 ,1-3年,6.55
111,上海-嘉定,数据分析岗,京东集团,10000人以上,合资,1.3万-2.5万,本科,财务数据分析 商业数据分析 ,3-5年,7.45
112,上海-杨浦,自动驾驶数据分析工程师,苏州金色未来信息咨询股份有限公司,100-299人,上市公司,1.1万-1.3万,本科,Python 运营数据分析 ,1-3年,6.8
113,上海-浦东,数据分析岗,东北证券,1000-9999人,上市公司,面议,本科,运营数据分析 ,不限,7.0
114,上海-浦东,数据分析岗,智联猎头,1000-9999人,上市公司,1万-1.5万,本科,数据分析 运营数据分析 经营数据分析 ,1-3年,7.4
115,上海,数据分析,上海市住房和城乡建设管理委员会人才开发评价中心,20-99人,事业单位,1万-1.5万,学历不限,Java ,不限,5.7
116,上海-浦东,数据分析岗,上海数治数据科技有限公司,20-99人,民营,6千-8千,大专,数据分析 SPSS 数据挖掘 Python 机器学习 数据建模 数据治理 行业分析 ,不限,5.6
117,上海,数据分析专员,南京飞勒克工业设备有限公司,100-299人,外商独资,9千-1.5万,本科,数据分析 数据挖掘 SQL ,1-3年,6.7
118,上海-闵行,数据分析,元气森林(北京)食品科技集团有限公司,1000-9999人,合资,1.2万-2万,本科,商业数据分析 运营数据分析 行业分析 ,3-5年,7.3
119,上海-虹口,数据分析,上海高顿教育集团,1000-9999人,民营,9千-1.5万,本科,运营数据分析 ,1-3年,7.0
120,上海,数据分析专员,南京飞勒克工业设备有限公司,100-299人,外商独资,8千-1.2万,本科,数据分析 ,1-3年,6.7
121,上海-静安,数据分析专员,多特瑞(上海)商贸有限公司,100-299人,外商独资,8千-1.5万,本科,Power BI 财务数据分析 ,1-3年,6.7
123,上海-杨浦,数据分析助理（双休，入职缴纳五险）,杭州博盛达信息技术有限公司,300-499人,无,9千-1.3万,本科,Python ,1-3年,5.95
124,上海-徐汇,数据分析助理,上海思勃商务咨询有限公司,20-99人,民营,6千-8千,本科,数据分析 ,不限,5.7
125,上海-黄浦,数据分析,上海晨钦信息科技服务有限公司,1000-9999人,上市公司,1.8万-2.1万,本科,Python R语言 SQL ,不限,6.95
126,上海-浦东,线上数据分析经理,上海清美绿色食品(集团)有限公司,1000-9999人,合资,1.5万-2.8万,大专,运营数据分析 ,3-5年,7.25
127,上海,数据分析（销售支持）,旺旺集团,10000人以上,上市公司,6千-1万,本科,数据分析 统计学 销售业务数据 ,1年以下,7.35
128,上海-浦东,数据分析员8K底薪保障+入职带薪提供住宿,上海太屋网络科技有限公司,1000-9999人,民营,1万-1.4万,大专,运营数据分析 销售数据分析 行业分析 商业数据分析 多元统计分析 运营专员 风控数据分析 舆情分析 ,不限,6.5
129,上海-普陀,数据分析（行政数据线）,深圳万物商企物业服务有限公司,10000人以上,合资,8千-1万,本科,SQL SPSS Python Java Power BI 运营数据分析 行业分析 多元统计分析 ,1-3年,7.25
130,上海-闵行,销售数据分析,旺旺集团,10000人以上,上市公司,7千-9千,本科,批发/零售 ,不限,7.15
131,上海-徐汇,数据分析经理,达美乐比萨,500-999人,外商独资,1.5万-1.8万,本科,SQL R 数学/统计学专业 线下零售 餐饮业 ,5-10年,7.55
132,上海-长宁,数据分析主管,天鲜配(上海)供应链科技有限公司,100-299人,股份制企业,1.5万-2万,本科,运营数据分析 ,3-5年,6.65
133,上海-浦东,数据分析经理-普惠,交银企业管理服务(上海)有限公司张江高科技园区分公司,1000-9999人,国企,1万-2万,本科,SQL Python ,1-3年,7.2
134,上海-黄浦,J54XB72-总行零售金融部科技管理岗（数据分析）,上海农商银行,1000-9999人,国企,面议,本科,银行 ,1-3年,7.2
135,上海-静安,数据分析与挖掘,上海克而瑞信息技术有限公司,1000-9999人,外商独资,8千-1万,本科,Python MySQL ,1-3年,7.3
136,上海-浦东,数据分析助理（双休）,杭州烛名科技有限公司,100-299人,民营,1万-1.6万,本科,数据平台 数据采集 ,不限,6.0
137,上海-闵行,数据分析员,旺旺集团,10000人以上,上市公司,6千-8千,本科,商业数据分析 行业分析 SPSS SAS ,1-3年,7.55
138,上海-浦东,广告数据分析,宜通华瑞,1000-9999人,民营,1.5万-2.6万,本科,广告分析 风控数据分析 ,3-5年,7.15
139,上海-嘉定,数据分析（运营监控）,上海识装信息科技有限公司,1000-9999人,民营,1.5万-2万,大专,电商数据运营 供应链数据分析 物流数据分析 ,1-3年,6.95
141,上海-浦东,大数据分析专员,爱谱华顿,1000-9999人,合资,8千-1.2万,本科,数据分析 ,1-3年,7.1
142,上海-松江,数据分析专员,浙江然自芯环保科技有限公司,100-299人,民营,6千-1万,大专,财务数据分析 金融数据分析 关联分析 监控系统 ,不限,5.9
143,上海-浦东,数据分析员,南京飞勒克工业设备有限公司,100-299人,外商独资,8千-1.3万,本科,SQL SPSS SAS Python ,1-3年,6.7
144,上海-杨浦,数据分析,四川清音网络科技有限公司,500-999人,民营,1.3万-1.5万,本科,Python ,1-3年,6.7
145,上海,管培生（数据分析处理）,科隆测量仪器(上海)有限公司,100-299人,外商独资,8千-1.5万,本科,销售数据分析 ,1-3年,6.7
147,上海-金山,数据分析专员,立邦投资有限公司,10000人以上,外商独资,6千-8千,大专,制造业 ,1-3年,7.35
148,上海-徐汇,大数据分析,上海回力鞋业有限公司,20-99人,国企,1万-1.2万,硕士,运营数据分析 销售数据分析 商业数据分析 行业分析 ,不限,6.0
149,上海-浦东,数据分析,域起网络,300-499人,民营,1万-1.8万,本科,Python 游戏数据分析 ,1-3年,6.55
150,上海-浦东,数据分析专员,森女部落(上海)数字科技有限公司,20-99人,民营,1.5万-2万,本科,SQL Python 关联分析 商业数据分析 运营数据分析 销售数据分析 行业分析 舆情分析 ,3-5年,6.25
151,上海-徐汇,销售数据分析,安易行(常州)新能源科技有限公司,500-999人,民营,8千-1万,本科,excel ,1-3年,6.7
152,上海-徐汇,销售数据分析专员,广东嘉豪食品有限公司,1000-9999人,无,7千-1万,大专,数据分析 ,1-3年,6.3
153,上海-黄浦,数据分析,白象食品,1000-9999人,民营,1.4万-2.2万,本科,Python Power BI ,1-3年,7.0
154,上海-杨浦,数据分析专员-汉高施华蔻外包项目,电声股份,1000-9999人,合资,9千-1万,大专,数据分析 ,1-3年,7.0
155,上海-浦东,大数据分析专员,爱谱华顿,1000-9999人,合资,8千-1.5万,大专,数据运营 ,3-5年,7.2
156,上海-闵行,数据分析（互联网广告方向）,博彦科技承德有限公司,1000-9999人,股份制企业,9千-1.3万,大专,Python SQL 广告分析 竞价广告 搜索广告 CVR CTR 程序化广告 竞价系统 效果广告 ,1-3年,7.0
157,上海-静安,资深数据分析员,思播(上海)市场营销策划有限公司,500-999人,合资,1.5万-2万,大专,商业数据分析 运营数据分析 销售数据分析 ,3-5年,6.95
160,上海,酒店财务数据分析,上海锦江国际酒店股份有限公司第一分公司,100-299人,国企,1.2万-1.5万,本科,Power BI ,3-5年,6.8
161,上海-静安,助理数据分析经理,酩悦轩尼诗帝亚吉欧洋酒(上海)有限公司,500-999人,外商独资,2.6万-3万,本科,运营数据分析 ,5-10年,7.85
162,上海-浦东,数据分析专员,智联猎头,1000-9999人,上市公司,1万-2万,本科,数据分析 SPSS Python ,1-3年,7.4
163,上海-松江,销售数据分析,上海正泰电器国际贸易有限公司,10000人以上,民营,7千-1.3万,本科,制造业 ,3-5年,7.35
164,上海-虹口,数据分析（天翼外包-贷后）,北京银丰新融科技开发有限公司,1000-9999人,民营,1.3万-2万,本科,数据分析 贷后 金融 ,3-5年,7.2
165,上海-浦东,手游数据分析,上海塔人网络科技股份有限公司,100-299人,股份制企业,1万-2万,学历不限,数据分析 ,1-3年,6.4
166,上海-黄浦,企业运营数据分析,中外运集装箱运输有限公司,500-999人,国企,8千-1.3万,本科,商业数据分析 运营数据分析 集装箱班轮运输公司（央企） ,3-5年,7.1
167,上海,供应链数据分析专员,爱谱华顿,1000-9999人,合资,9千-1.2万,本科,数据分析 供应链 ,3-5年,7.3
168,上海-浦东,DA数据分析,上海晨钦信息科技服务有限公司,1000-9999人,上市公司,1.3万-1.7万,本科,DA Python R SQL ,3-5年,7.6
169,上海-徐汇,高级数据分析经理,上海市糖业烟酒(集团)有限公司,1000-9999人,国企,2万-3.5万,本科,运营数据分析 财务数据分析 商业数据分析 行业分析 ,3-5年,7.65
170,上海-浦东,销售数据分析,上海海琛,100-299人,民营,9千-1.2万,本科,数据分析 营销数据分析 ,1-3年,6.4
171,上海-虹口,做市业务数据分析,新期(上海)实业有限公司,20-99人,国企,1万-1.5万,本科,Java Python GO Rust ,不限,5.9
172,上海-虹口,数据分析（外包）,北京银丰新融科技开发有限公司,1000-9999人,民营,1.3万-1.8万,本科,SQL 金融数据分析 统计学 数学 ,3-5年,7.2
173,上海-浦东,销售管理专员——数据分析方向,威高血液净化制品(上海)有限公司,500-999人,民营,8千-1万,本科,销售管理岗 ,不限,6.3
175,上海-宝山,数据分析专员,苏州市欣源商贸有限公司,100-299人,民营,6千-8千,本科,SPSS SAS MATLAB Gephi Alteryx Oracle Hyperion Eviews Stata Power BI Tableau ,1-3年,6.4
178,上海-徐汇,数据分析经理,百玺(上海)企业管理有限公司,100-299人,民营,6千-1万,大专,销售数据分析 ,1-3年,6.3
179,上海-普陀,商业数据分析,上海安点企业管理咨询有限公司,20-99人,民营,9千-1.5万,硕士,SPSS 管理咨询工作经验 Power-BI SQL Python ,不限,5.8
180,上海-长宁,数据分析经理,上海交银信息数据有限公司,1000-9999人,国企,2.5万-3万,本科,SAS ,5-10年,8.05
181,上海-嘉定,供应链数据运营岗（数据分析）,上海识装信息科技有限公司,1000-9999人,民营,1.3万-2万,本科,电商数据运营 数据监控 excel ,1-3年,7.0
182,上海,市场调研/市场分析/数据分析,美国Selleck生物科技有限公司,500-999人,合资,6千-8千,学历不限,数据分析 市场调查 调研分析 市场分析 行业分析 竞品分析 企业调研 用户研究 ,不限,6.3
183,上海-徐汇,营销战略（数据分析）,韩泰轮胎,1000-9999人,外商独资,7千-9千,本科,营销策划 品牌策划 市场策划 汽车行业 ,不限,6.9
184,上海-浦东,数据分析经理/高级经理,云竞(上海)电子科技有限公司,500-999人,民营,1.5万-2.2万,本科,SQL Power BI Tableau ,1-3年,6.65
185,上海-浦东,大数据分析专员,爱谱华顿,1000-9999人,合资,6千-1.2万,大专,运营数据分析 销售数据分析 ,3-5年,7.2
